network,attr,method,lam,nodes (n),clusters (k),groups (h),Q_FNMTF,B_FNMTF
DrugNet,Ethnicity,FairNMF,0.2,193,6,3,0.6404061953512503,0.0530458254504902
DrugNet,Ethnicity,FairNMF,0.3,193,6,3,0.6305621525401746,0.05445304590402227
DrugNet,Ethnicity,FairNMF,0.4,193,6,3,0.6263959890333517,0.07126573969684717
DrugNet,Ethnicity,FairNMF,0.5,193,6,3,0.6229901559571891,0.06885928581205752
DrugNet,Ethnicity,FairNMF,0.6,193,6,3,0.6350704647407944,0.059697551888333346
DrugNet,Ethnicity,FairNMF,0.7,193,6,3,0.6154897198853243,0.03451878916030649
DrugNet,Ethnicity,FairNMF,0.8,193,6,3,0.6217132480868744,0.059224609046061166
DrugNet,Ethnicity,FairNMF,0.9,193,6,3,0.6269259840688411,0.04587461960239934
DrugNet,Ethnicity,FairNMF,1,193,6,3,0.6089262792559497,0.0460131925212669
DrugNet,Ethnicity,FairNMF,1.1,193,6,3,0.6198884550532903,0.07370564605884093
DrugNet,Ethnicity,FairNMF,1.2,193,6,3,0.6271898634535996,0.04560077790905074
DrugNet,Ethnicity,FairNMF,1.3,193,6,3,0.6204944831318456,0.0640240832657857
DrugNet,Ethnicity,FairNMF,1.4,193,6,3,0.6196178668706142,0.04856954424214812
DrugNet,Ethnicity,FairNMF,1.5,193,6,3,0.6062539414187765,0.060852216484719585
DrugNet,Ethnicity,FairNMF,1.6,193,6,3,0.6347819864303381,0.039782774413330814
DrugNet,Ethnicity,FairNMF,1.7,193,6,3,0.6325993908411491,0.049359719645650675
DrugNet,Ethnicity,FairNMF,1.8,193,6,3,0.6320090166244012,0.03363083151353585
DrugNet,Ethnicity,FairNMF,1.9,193,6,3,0.6319777089007858,0.045564869152299625
DrugNet,Ethnicity,FairNMF,2,193,6,3,0.6288871893267498,0.04294921349897801
DrugNet,Ethnicity,FairNMF,2.2,193,6,3,0.6220643418445616,0.04009012108362783
DrugNet,Ethnicity,FairNMF,2.4,193,6,3,0.6178758156780135,0.05000935087485738
DrugNet,Ethnicity,FairNMF,2.5,193,6,3,0.6280597709169137,0.03909655601082273
DrugNet,Ethnicity,FairNMF,2.6,193,6,3,0.6295468877886461,0.051927583067968186
DrugNet,Ethnicity,FairNMF,2.8,193,6,3,0.6302535478359654,0.04083447192407783
DrugNet,Ethnicity,FairNMF,3,193,6,3,0.620398323695027,0.04144578816146636
DrugNet,Ethnicity,FairNMF,3.33,193,6,3,0.6366962301028235,0.04236000187370992
DrugNet,Ethnicity,FairNMF,3.66,193,6,3,0.6304525755075205,0.062453133292919794
DrugNet,Ethnicity,FairNMF,4,193,6,3,0.6293590414469535,0.07369288631486652
DrugNet,Ethnicity,FairNMF,4.33,193,6,3,0.5997508799706601,0.07089653707592455
